event_at,statId,chgerId,busiId,prev_stat,new_stat,gap_minutes,normal_ratio_prev6h,started_down_next6h,down_minutes_next6h,y_down_6h,n_events_6h,to_9_6h,to_1_6h,to_4_6h,to_5_6h,to_bad_6h,from9_to_normal_6h,from1_to_normal_6h,bad_to_normal_6h,n_events_24h,to_9_24h,to_1_24h,to_4_24h,to_5_24h,to_bad_24h,from9_to_normal_24h,from1_to_normal_24h,bad_to_normal_24h
2026-01-14T03:36:03,AM900006,01,AM,9,2,10,0.9721759259259259,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0
2026-01-15T03:16:02,AM900006,01,AM,9,2,10,0.9722222222222222,0,0,0,1,1,0,0,0,1,0,0,0,3,2,0,0,0,2,1,0,1
2026-01-16T03:36:02,AM900006,01,AM,9,2,10,0.9722222222222222,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0
2026-01-14T03:36:03,AM900006,11,AM,9,2,10,0.9721759259259259,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0
2026-01-15T03:16:02,AM900006,11,AM,9,2,10,0.9722222222222222,0,0,0,1,1,0,0,0,1,0,0,0,3,2,0,0,0,2,1,0,1
2026-01-16T03:36:02,AM900006,11,AM,9,2,10,0.9722222222222222,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0
2026-01-13T00:06:02,AM900011,01,AM,5,3,10,0.6111111111111112,1,110,1,22,0,0,0,11,11,0,0,11,22,0,0,0,11,11,0,0,11
2026-01-13T00:36:02,AM900011,01,AM,5,3,10,0.6111111111111112,1,100,1,22,0,0,0,11,11,0,0,11,24,0,0,0,12,12,0,0,12
2026-01-13T01:36:02,AM900011,01,AM,5,3,40,0.5555555555555556,1,120,1,20,0,0,0,10,10,0,0,10,26,0,0,0,13,13,0,0,13
2026-01-13T02:06:03,AM900011,01,AM,5,3,10,0.5555092592592593,1,140,1,19,0,0,0,10,10,0,0,9,28,0,0,0,14,14,0,0,14
2026-01-13T02:36:02,AM900011,01,AM,5,3,10,0.5555092592592593,1,160,1,20,0,0,0,10,10,0,0,10,30,0,0,0,15,15,0,0,15
2026-01-13T03:06:02,AM900011,01,AM,5,3,10,0.5555092592592593,1,180,1,20,0,0,0,10,10,0,0,10,32,0,0,0,16,16,0,0,16
2026-01-13T03:36:02,AM900011,01,AM,5,3,10,0.6110648148148148,1,200,1,22,0,0,0,11,11,0,0,11,34,0,0,0,17,17,0,0,17
2026-01-13T04:06:02,AM900011,01,AM,5,3,10,0.6110648148148148,1,220,1,22,0,0,0,11,11,0,0,11,36,0,0,0,18,18,0,0,18
2026-01-13T04:36:02,AM900011,01,AM,5,3,10,0.6110648148148148,1,240,1,22,0,0,0,11,11,0,0,11,38,0,0,0,19,19,0,0,19
2026-01-13T20:46:02,AM900011,01,AM,5,3,10,0.5276851851851851,1,250,1,10,0,0,0,5,5,0,0,5,39,0,0,0,20,20,0,0,19
2026-01-13T21:16:02,AM900011,01,AM,5,3,10,0.5832407407407407,1,270,1,12,0,0,0,6,6,0,0,6,40,0,0,0,20,20,0,0,20
2026-01-13T21:46:02,AM900011,01,AM,5,3,10,0.6387962962962963,1,290,1,14,0,0,0,7,7,0,0,7,41,0,0,0,21,21,0,0,20
2026-01-13T22:16:02,AM900011,01,AM,5,3,10,0.6943518518518519,1,310,1,16,0,0,0,8,8,0,0,8,41,0,0,0,21,21,0,0,20
2026-01-13T22:46:02,AM900011,01,AM,5,3,10,0.7221296296296297,1,330,1,17,0,0,0,9,9,0,0,8,41,0,0,0,21,21,0,0,20
2026-01-13T23:16:02,AM900011,01,AM,5,3,9,0.6943981481481482,1,350,1,19,0,0,0,10,10,0,0,9,41,0,0,0,21,21,0,0,20
2026-01-12T20:46:02,AM900011,02,AM,5,3,10,0.6666666666666666,1,110,1,24,0,0,0,12,12,0,0,12,24,0,0,0,12,12,0,0,12
2026-01-12T21:16:02,AM900011,02,AM,5,3,10,0.6666666666666666,1,110,1,24,0,0,0,12,12,0,0,12,26,0,0,0,13,13,0,0,13
2026-01-12T21:46:02,AM900011,02,AM,5,3,10,0.6666666666666666,1,130,1,24,0,0,0,12,12,0,0,12,28,0,0,0,14,14,0,0,14
2026-01-12T22:16:02,AM900011,02,AM,5,3,10,0.6666666666666666,1,150,1,24,0,0,0,12,12,0,0,12,30,0,0,0,15,15,0,0,15
2026-01-12T22:46:03,AM900011,02,AM,5,3,10,0.6666203703703704,1,170,1,23,0,0,0,12,12,0,0,11,32,0,0,0,16,16,0,0,16
2026-01-12T23:16:02,AM900011,02,AM,5,3,10,0.6666203703703704,1,190,1,24,0,0,0,12,12,0,0,12,34,0,0,0,17,17,0,0,17
2026-01-12T23:46:02,AM900011,02,AM,5,3,10,0.6666203703703704,1,210,1,24,0,0,0,12,12,0,0,12,36,0,0,0,18,18,0,0,18
2026-01-13T00:16:02,AM900011,02,AM,5,3,10,0.6666203703703704,1,230,1,24,0,0,0,12,12,0,0,12,38,0,0,0,19,19,0,0,19
2026-01-13T00:46:02,AM900011,02,AM,5,3,10,0.6666203703703704,1,250,1,24,0,0,0,12,12,0,0,12,40,0,0,0,20,20,0,0,20
2026-01-13T01:46:02,AM900011,02,AM,5,3,10,0.6943981481481482,1,300,1,22,0,0,0,11,11,0,0,11,42,0,0,0,21,21,0,0,21
2026-01-13T02:16:02,AM900011,02,AM,5,3,9,0.6944444444444444,1,320,1,22,0,0,0,11,11,0,0,11,44,0,0,0,22,22,0,0,22
2026-01-13T02:46:02,AM900011,02,AM,5,3,10,0.6944444444444444,1,340,1,22,0,0,0,11,11,0,0,11,46,0,0,0,23,23,0,0,23
2026-01-13T14:26:02,AM900011,02,AM,5,3,10,0.5,1,130,1,18,0,0,0,9,9,0,0,9,66,0,0,0,33,33,0,0,33
2026-01-13T14:56:02,AM900011,02,AM,5,3,10,0.5555555555555556,1,130,1,20,0,0,0,10,10,0,0,10,67,0,0,0,34,34,0,0,33
2026-01-13T15:26:02,AM900011,02,AM,5,3,10,0.6111111111111112,1,130,1,22,0,0,0,11,11,0,0,11,67,0,0,0,34,34,0,0,33
2026-01-13T15:56:02,AM900011,02,AM,5,3,10,0.6666666666666666,1,130,1,24,0,0,0,12,12,0,0,12,67,0,0,0,34,34,0,0,33
2026-01-13T16:26:02,AM900011,02,AM,5,3,10,0.6666666666666666,1,140,1,24,0,0,0,12,12,0,0,12,67,0,0,0,34,34,0,0,33
2026-01-13T17:06:03,AM900011,02,AM,5,3,30,0.6110648148148148,1,150,1,23,0,0,0,12,12,0,0,11,66,0,0,0,33,33,0,0,33
2026-01-13T17:36:02,AM900011,02,AM,5,3,10,0.6110648148148148,1,170,1,23,0,0,0,12,12,0,0,11,67,0,0,0,34,34,0,0,33
2026-01-13T18:06:02,AM900011,02,AM,5,3,10,0.6110648148148148,1,190,1,23,0,0,0,12,12,0,0,11,67,0,0,0,34,34,0,0,33
2026-01-13T18:36:03,AM900011,02,AM,5,3,10,0.6110648148148148,1,210,1,23,0,0,0,12,12,0,0,11,66,0,0,0,33,33,0,0,33
2026-01-13T19:06:02,AM900011,02,AM,5,3,9,0.6111111111111112,1,230,1,23,0,0,0,12,12,0,0,11,67,0,0,0,34,34,0,0,33
2026-01-13T19:36:03,AM900011,02,AM,5,3,10,0.6111111111111112,1,250,1,23,0,0,0,12,12,0,0,11,66,0,0,0,33,33,0,0,33
2026-01-13T20:06:03,AM900011,02,AM,5,3,10,0.6111111111111112,1,270,1,23,0,0,0,12,12,0,0,11,66,0,0,0,33,33,0,0,33
2026-01-13T20:36:02,AM900011,02,AM,5,3,9,0.6112037037037037,1,290,1,23,0,0,0,12,12,0,0,11,67,0,0,0,34,34,0,0,33
2026-01-13T21:06:02,AM900011,02,AM,5,3,10,0.6112037037037037,1,310,1,23,0,0,0,12,12,0,0,11,67,0,0,0,34,34,0,0,33
2026-01-13T21:36:02,AM900011,02,AM,5,3,10,0.6112037037037037,1,330,1,23,0,0,0,12,12,0,0,11,67,0,0,0,34,34,0,0,33
